tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.63185E+15,-1.60156,30.37928,1526,1526,530402,GS BIHINGA,PUBLIC,12YBE,GATSIBO,KABARORE,KABARORE,BIHINGA,ON GRID,NONE,None,496,17,137,8729bb06-9153-4080-9d9a-643b3773e90e,G_RWA_01526,-1.60156,30.37928,39.05,52.66,8.28
2.6143E+15,-2.512694444,28.97722222,1540,1540,361411,GS MATARE,GOVERNMENT_AIDED,12YBE,RUSIZI,NKUNGU,KIZIGURO,KABUGA,ON GRID,NONE,None,740,12,123,06f5fe19-3393-47c6-8cf5-c738e83a792e,G_RWA_01540,-2.512694444,28.97722222,25.93,65.43,8.64
2.62115E+15,-2.48472,29.52458,2035,2035,250308,G S KIGEME B,GOVERNMENT_AIDED,12YBE,NYAMAGABE,GASAKA,KIGEME,GAKOMA,ON GRID,FOUR_G,4G,1987,48,,2d094f70-ab43-4613-a620-8e35965db0a1,G_RWA_02035,-2.48472,29.52458,33.81,56.12,10.07
2.62225E+15,-1.500555556,29.61244444,2044,2044,431008,GS MUSANZEI,GOVERNMENT_AIDED,12YBE,MUSANZE,MUSANZE,RWAMBOGO,GAKORO,ON GRID,FOUR_G,4G,2642,51,,fd53fa6b-1075-4f50-b97a-d59a33fa334c,G_RWA_02044,-1.500555556,29.61244444,33.81,58.52,7.67
2.62107E+15,-2.76383,29.51789,2622,2622,230103,E P Runyami,GOVERNMENT_AIDED,PRIMARY,NYARUGURU,BUSANZE,SHORORO,RUNYAMI,ON GRID,FOUR_G,4G,922,19,,103d8564-d1cc-432a-afc8-5f87da6dfb5c,G_RWA_02622,-2.76383,29.51789,30.36,62.5,7.14
2.62058E+15,-1.881138889,29.47913889,2694,2694,350612,EP MUTAKE,GOVERNMENT_AIDED,PRIMARY,NGORORERO,KAVUMU,RUGESHI,MWIYANIKE,OFF GRID,NONE,None,251,20,,28eb729d-47f9-452e-9f1a-4cc047595805,G_RWA_02694,-1.881138889,29.47913889,30.65,51.61,17.74
2.61829E+15,-2.249972222,29.2955,2742,2742,371101,BIGALI,GOVERNMENT_AIDED,PRIMARY,NYAMASHEKE,MAHEMBE,NYAKAVUMU,BIGALI,ON GRID,NONE,None,314,20,,529c332b-4c2e-45a9-9f46-8971346833f0,G_RWA_02742,-2.249972222,29.2955,35.19,46.3,18.52
2.62584E+15,-2.62133,29.89947,2819,2819,220708,RWAMIKO,PUBLIC,PRIMARY,GISAGARA,MUGANZA,RWAMIKO,UBUSERUKA,ON GRID,NONE,None,396,17,,51527b33-3eb1-4dbf-a29f-dc8eedfc4cd8,G_RWA_02819,-2.62133,29.89947,45.45,41.82,12.73
2.62207E+15,-2.08847,29.59825,3190,3190,310710,MUREHE,GOVERNMENT_AIDED,PRIMARY,KARONGI,MURUNDI,KAMINA,NYAKARAMBI,ON GRID,NONE,None,687,14,,cc4b416e-2f2f-4e93-9240-a616ccb4fd95,G_RWA_03190,-2.08847,29.59825,25,62.86,12.14
2.62287E+15,-1.66517,29.66225,3310,3310,421204,GATONDE,PUBLIC,PRIMARY,GAKENKE,MUGUNGA,RUTABO,GACEMERI,ON GRID,NONE,None,905,17,,4511294f-ea96-4472-9686-0589e9e6cf0d,G_RWA_03310,-1.66517,29.66225,39.01,53.19,7.8
2.6216E+15,-2.657805556,29.56016667,3688,3688,230305,E P SINAYI,GOVERNMENT_AIDED,PRIMARY,NYARUGURU,KIBEHO,KIBEHO,SINAYI,ON GRID,USB_MODEM,3G,1303,25,,60e482e1-71d0-45e0-a53f-d4458bcfb412,G_RWA_03688,-2.657805556,29.56016667,30.1,61.17,8.74
2.62401E+15,-2.099611111,29.75277778,3949,3949,270811,GSST JOSEPH,GOVERNMENT_AIDED,SECONDARY,MUHANGA,NYAMABUYE,GAHOGO,KAMAZURU,ON GRID,WIMAX,3.5G,2352,39,,c24c8295-760c-4e93-8f10-be92789ce9cd,G_RWA_03949,-2.099611111,29.75277778,28.04,64.35,7.61
2.62451E+15,-1.98,29.79298,4005,4005,270113,ITER RUTOBWE,PRIVATE,TVET,MUHANGA,CYEZA,KIGARAMA,MBIRIZI,ON GRID,FOUR_G,4G,1093,23,,079d26e8-853b-42b1-a738-bb2f5741b5f5,G_RWA_04005,-1.98,29.79298,33.85,56.25,9.9
2.63411E+15,-2.142722222,30.56080556,4133,4133,560516,Garden Vocational Training Center,PRIVATE,TVET,NGOMA,KIBUNGO,MAHANGO,GISAKA,ON GRID,USB_MODEM,3G,841,22,,e404b503-d53c-40b7-9b80-39012da10ea1,G_RWA_04133,-2.142722222,30.56080556,36.76,54.9,8.33
2.62455E+15,-2.19369,29.79658,386,386,260910,GS MUHORORO,GOVERNMENT_AIDED,12YBE,RUHANGO,RUHANGO,BUHORO,RWINKUBA,ON GRID,USB_MODEM,3G,1925,32,244,b54ceab2-332c-4eef-8a36-05ca3948d36d,G_RWA_00386,-2.19369,29.79658,28.98,62.19,8.83
