SCHOOL_CODE,SCHOOL_NAME,school_region,LATITUDE,LONGITUDE,connectivity,uuid,Coverage,Coverage_type,2G_coverage,3G_coverage,4G_coverage,5G_coverage,2G_coverage_distance,3G_coverage_distance,4G_coverage_distance,5G_coverage_distance,2G_Best_Coverage_provider,3G_Best_Coverage_provider,4G_Best_Coverage_provider,5G_Best_Coverage_provider,2G_coverage_present,3G_coverage_present,4G_coverage_present,5G_coverage_present,Distance_to_nearest_tower,Data_Source
G_CRI_001963,JULIA FERNANDEZ RODRIGUEZ,Rural,10.17271261,-84.15781595,YES,b1e742cc-de6f-397c-b97a-75fec4613625,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001964,VILLALOBOS,Urban,9.96754288,-84.12157283,YES,ab3f049e-c5af-3a1f-a8a6-14c7eb782f54,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001965,CLAUDIO LARA CAMPOS,Rural,10.40091883,-84.13490207,YES,b281a847-e69b-3986-87e1-e7ddabb79633,YES,4G,Excellent,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001967,RODOLFO PETERS SCHEIDER,Urban,10.05558491,-84.16410253,YES,d53bc038-f10c-3fd1-beaa-e4539c6df7f6,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001973,JOSE RAMON HERNANDEZ BADILLA,Urban,9.99303847,-84.12148356,YES,5e5074c3-46c8-326b-9d2c-14b0b2009444,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002072,CAIMITALITO,Rural,10.05916169,-85.49235343,YES,5c03fee9-4b5b-32a3-aee8-e489914d4e84,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002110,JUAN DE LEON,Rural,9.9000664,-85.20989174,YES,2e448329-4a03-3dfa-826d-2816dcceeafd,YES,4G,Good,Fair,Good,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002140,LEONIDAS BRICENO BALTODANO,Urban,10.13971227,-85.45282338,YES,f7bd3ff3-9935-3527-9240-90026cffc02b,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002152,FRAY BARTOLOME DE LAS CASAS,Urban,10.20656401,-85.50011807,YES,63c091db-9f80-3873-a942-5e49cd0e1142,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002178,RIO MONTANA,Urban,10.04878106,-85.5986894,YES,9c1e613f-1d96-32a4-b74b-74c6a840f590,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002295,PASO TEMPISQUE,Urban,10.49835221,-85.5718447,YES,57148b4e-e6bf-3a85-965e-ca949620f109,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002315,EL TRAPICHE,Rural,10.29115952,-85.72067929,YES,2731788f-dd95-38da-80e5-5778c6155fc1,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002318,SAN JUAN CHIQUITO,Rural,10.27263269,-84.97457547,YES,af1219a9-3ac7-3fd8-aebf-469b97325c37,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002381,MATA DE CANA,Rural,10.53986105,-84.88011796,YES,5e5f9826-3e82-39c3-ace4-ce899292e00b,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002399,SAN MIGUEL,Rural,10.35397319,-85.07888622,YES,932b6b5a-8e84-3a5e-9172-154b21b2426a,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_002406,JAIME GUTIERREZ BRAUN,Rural,10.57057285,-85.02598702,YES,600998c3-e542-3ade-a4a7-8d0b650dcbfc,YES,4G,Fair,Fair,Good,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
